"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"County","Autauga","AL","01001","=""01001""","69841","2019-2023","2022","Census","United States"
"County","Baldwin","AL","01003","=""01003""","75019","2019-2023","2022","Census","United States"
"County","Barbour","AL","01005","=""01005""","44290","2019-2023","2022","Census","United States"
"County","Bibb","AL","01007","=""01007""","51215","2019-2023","2022","Census","United States"
"County","Blount","AL","01009","=""01009""","61096","2019-2023","2022","Census","United States"
"County","Bullock","AL","01011","=""01011""","36723","2019-2023","2022","Census","United States"
"County","Butler","AL","01013","=""01013""","44881","2019-2023","2022","Census","United States"
"County","Calhoun","AL","01015","=""01015""","55826","2019-2023","2022","Census","United States"
"County","Chambers","AL","01017","=""01017""","49295","2019-2023","2022","Census","United States"
"County","Cherokee","AL","01019","=""01019""","50769","2019-2023","2022","Census","United States"
"County","Chilton","AL","01021","=""01021""","61873","2019-2023","2022","Census","United States"
"County","Choctaw","AL","01023","=""01023""","44483","2019-2023","2022","Census","United States"
"County","Clarke","AL","01025","=""01025""","49167","2019-2023","2022","Census","United States"
"County","Clay","AL","01027","=""01027""","51852","2019-2023","2022","Census","United States"
"County","Cleburne","AL","01029","=""01029""","53319","2019-2023","2022","Census","United States"
"County","Coffee","AL","01031","=""01031""","64672","2019-2023","2022","Census","United States"
"County","Colbert","AL","01033","=""01033""","56736","2019-2023","2022","Census","United States"
"County","Conecuh","AL","01035","=""01035""","42266","2019-2023","2022","Census","United States"
"County","Coosa","AL","01037","=""01037""","57063","2019-2023","2022","Census","United States"
"County","Covington","AL","01039","=""01039""","50886","2019-2023","2022","Census","United States"
"County","Crenshaw","AL","01041","=""01041""","49040","2019-2023","2022","Census","United States"
"County","Cullman","AL","01043","=""01043""","60916","2019-2023","2022","Census","United States"
"County","Dale","AL","01045","=""01045""","53955","2019-2023","2022","Census","United States"
"County","Dallas","AL","01047","=""01047""","36810","2019-2023","2022","Census","United States"
"County","DeKalb","AL","01049","=""01049""","51149","2019-2023","2022","Census","United States"
"County","Elmore","AL","01051","=""01051""","75553","2019-2023","2022","Census","United States"
"County","Escambia","AL","01053","=""01053""","44447","2019-2023","2022","Census","United States"
"County","Etowah","AL","01055","=""01055""","53070","2019-2023","2022","Census","United States"
"County","Fayette","AL","01057","=""01057""","50733","2019-2023","2022","Census","United States"
"County","Franklin","AL","01059","=""01059""","51493","2019-2023","2022","Census","United States"
"County","Geneva","AL","01061","=""01061""","50951","2019-2023","2022","Census","United States"
"County","Greene","AL","01063","=""01063""","31495","2019-2023","2022","Census","United States"
"County","Hale","AL","01065","=""01065""","41325","2019-2023","2022","Census","United States"
"County","Henry","AL","01067","=""01067""","60135","2019-2023","2022","Census","United States"
"County","Houston","AL","01069","=""01069""","57531","2019-2023","2022","Census","United States"
"County","Jackson","AL","01071","=""01071""","49454","2019-2023","2022","Census","United States"
"County","Jefferson","AL","01073","=""01073""","64589","2019-2023","2022","Census","United States"
"County","Lamar","AL","01075","=""01075""","47447","2019-2023","2022","Census","United States"
"County","Lauderdale","AL","01077","=""01077""","59082","2019-2023","2022","Census","United States"
"County","Lawrence","AL","01079","=""01079""","60040","2019-2023","2022","Census","United States"
"County","Lee","AL","01081","=""01081""","61123","2019-2023","2022","Census","United States"
"County","Limestone","AL","01083","=""01083""","83534","2019-2023","2022","Census","United States"
"County","Lowndes","AL","01085","=""01085""","35160","2019-2023","2022","Census","United States"
"County","Macon","AL","01087","=""01087""","45951","2019-2023","2022","Census","United States"
"County","Madison","AL","01089","=""01089""","83528","2019-2023","2022","Census","United States"
"County","Marengo","AL","01091","=""01091""","44205","2019-2023","2022","Census","United States"
"County","Marion","AL","01093","=""01093""","50714","2019-2023","2022","Census","United States"
"County","Marshall","AL","01095","=""01095""","60946","2019-2023","2022","Census","United States"
"County","Mobile","AL","01097","=""01097""","58119","2019-2023","2022","Census","United States"
"County","Monroe","AL","01099","=""01099""","40225","2019-2023","2022","Census","United States"
"County","Montgomery","AL","01101","=""01101""","58153","2019-2023","2022","Census","United States"
"County","Morgan","AL","01103","=""01103""","64858","2019-2023","2022","Census","United States"
"County","Perry","AL","01105","=""01105""","34368","2019-2023","2022","Census","United States"
"County","Pickens","AL","01107","=""01107""","47014","2019-2023","2022","Census","United States"
"County","Pike","AL","01109","=""01109""","47961","2019-2023","2022","Census","United States"
"County","Randolph","AL","01111","=""01111""","51551","2019-2023","2022","Census","United States"
"County","Russell","AL","01113","=""01113""","50046","2019-2023","2022","Census","United States"
"County","St. Clair","AL","01115","=""01115""","78993","2019-2023","2022","Census","United States"
"County","Shelby","AL","01117","=""01117""","93543","2019-2023","2022","Census","United States"
"County","Sumter","AL","01119","=""01119""","37981","2019-2023","2022","Census","United States"
"County","Talladega","AL","01121","=""01121""","56249","2019-2023","2022","Census","United States"
"County","Tallapoosa","AL","01123","=""01123""","57185","2019-2023","2022","Census","United States"
"County","Tuscaloosa","AL","01125","=""01125""","63947","2019-2023","2022","Census","United States"
"County","Walker","AL","01127","=""01127""","54509","2019-2023","2022","Census","United States"
"County","Washington","AL","01129","=""01129""","60503","2019-2023","2022","Census","United States"
"County","Wilcox","AL","01131","=""01131""","42236","2019-2023","2022","Census","United States"
"County","Winston","AL","01133","=""01133""","48032","2019-2023","2022","Census","United States"
"County","Aleutians East","AK","02013","=""02013""","72692","2019-2023","2022","Census","United States"
"County","Aleutians West","AK","02016","=""02016""","107344","2019-2023","2022","Census","United States"
"County","Anchorage","AK","02020","=""02020""","98152","2019-2023","2022","Census","United States"
"County","Bethel","AK","02050","=""02050""","70616","2019-2023","2022","Census","United States"
"County","Bristol Bay","AK","02060","=""02060""","100625","2019-2023","2022","Census","United States"
"County","Chugach","AK","02063","=""02063""","88565","2019-2023","2022","Census","United States"
"County","Copper River","AK","02066","=""02066""","75053","2019-2023","2022","Census","United States"
"County","Denali","AK","02068","=""02068""","88935","2019-2023","2022","Census","United States"
"County","Dillingham","AK","02070","=""02070""","74250","2019-2023","2022","Census","United States"
"County","Fairbanks North Star","AK","02090","=""02090""","84722","2019-2023","2022","Census","United States"
"County","Haines","AK","02100","=""02100""","72607","2019-2023","2022","Census","United States"
"County","Hoonah-Angoon","AK","02105","=""02105""","62500","2019-2023","2022","Census","United States"
"County","Juneau","AK","02110","=""02110""","100513","2019-2023","2022","Census","United States"
"County","Kenai Peninsula","AK","02122","=""02122""","77722","2019-2023","2022","Census","United States"
"County","Ketchikan Gateway","AK","02130","=""02130""","89155","2019-2023","2022","Census","United States"
"County","Kodiak Island","AK","02150","=""02150""","83716","2019-2023","2022","Census","United States"
"County","Kusilvak","AK","02158","=""02158""","48233","2019-2023","2022","Census","United States"
"County","Lake and Peninsula","AK","02164","=""02164""","64000","2019-2023","2022","Census","United States"
"County","Matanuska-Susitna","AK","02170","=""02170""","90625","2019-2023","2022","Census","United States"
"County","Nome","AK","02180","=""02180""","76643","2019-2023","2022","Census","United States"
"County","North Slope","AK","02185","=""02185""","86313","2019-2023","2022","Census","United States"
"County","Northwest Arctic","AK","02188","=""02188""","81298","2019-2023","2022","Census","United States"
"County","Petersburg","AK","02195","=""02195""","77026","2019-2023","2022","Census","United States"
"County","Prince of Wales-Hyder","AK","02198","=""02198""","59079","2019-2023","2022","Census","United States"
"County","Sitka","AK","02220","=""02220""","101207","2019-2023","2022","Census","United States"
"County","Skagway","AK","02230","=""02230""","78594","2019-2023","2022","Census","United States"
"County","Southeast Fairbanks","AK","02240","=""02240""","74223","2019-2023","2022","Census","United States"
"County","Wrangell","AK","02275","=""02275""","64545","2019-2023","2022","Census","United States"
"County","Yakutat","AK","02282","=""02282""","80625","2019-2023","2022","Census","United States"
"County","Yukon-Koyukuk","AK","02290","=""02290""","52642","2019-2023","2022","Census","United States"
"County","Apache","AZ","04001","=""04001""","40338","2019-2023","2022","Census","United States"
"County","Cochise","AZ","04003","=""04003""","58970","2019-2023","2022","Census","United States"
"County","Coconino","AZ","04005","=""04005""","69748","2019-2023","2022","Census","United States"
"County","Gila","AZ","04007","=""04007""","59089","2019-2023","2022","Census","United States"
"County","Graham","AZ","04009","=""04009""","67326","2019-2023","2022","Census","United States"
"County","Greenlee","AZ","04011","=""04011""","75239","2019-2023","2022","Census","United States"
"County","La Paz","AZ","04012","=""04012""","49506","2019-2023","2022","Census","United States"
"County","Maricopa","AZ","04013","=""04013""","85518","2019-2023","2022","Census","United States"
"County","Mohave","AZ","04015","=""04015""","55799","2019-2023","2022","Census","United States"
"County","Navajo","AZ","04017","=""04017""","52752","2019-2023","2022","Census","United States"
"County","Pima","AZ","04019","=""04019""","67929","2019-2023","2022","Census","United States"
"County","Pinal","AZ","04021","=""04021""","77588","2019-2023","2022","Census","United States"
"County","Santa Cruz","AZ","04023","=""04023""","53614","2019-2023","2022","Census","United States"
"County","Yavapai","AZ","04025","=""04025""","66106","2019-2023","2022","Census","United States"
"County","Yuma","AZ","04027","=""04027""","60417","2019-2023","2022","Census","United States"
"County","Arkansas","AR","05001","=""05001""","60831","2019-2023","2022","Census","United States"
"County","Ashley","AR","05003","=""05003""","44481","2019-2023","2022","Census","United States"
"County","Baxter","AR","05005","=""05005""","48427","2019-2023","2022","Census","United States"
"County","Benton","AR","05007","=""05007""","89879","2019-2023","2022","Census","United States"
"County","Boone","AR","05009","=""05009""","54195","2019-2023","2022","Census","United States"
"County","Bradley","AR","05011","=""05011""","39565","2019-2023","2022","Census","United States"
"County","Calhoun","AR","05013","=""05013""","63654","2019-2023","2022","Census","United States"
"County","Carroll","AR","05015","=""05015""","55187","2019-2023","2022","Census","United States"
"County","Chicot","AR","05017","=""05017""","39683","2019-2023","2022","Census","United States"
"County","Clark","AR","05019","=""05019""","50985","2019-2023","2022","Census","United States"
"County","Clay","AR","05021","=""05021""","48500","2019-2023","2022","Census","United States"
"County","Cleburne","AR","05023","=""05023""","55979","2019-2023","2022","Census","United States"
"County","Cleveland","AR","05025","=""05025""","50509","2019-2023","2022","Census","United States"
"County","Columbia","AR","05027","=""05027""","47363","2019-2023","2022","Census","United States"
"County","Conway","AR","05029","=""05029""","51212","2019-2023","2022","Census","United States"
"County","Craighead","AR","05031","=""05031""","57615","2019-2023","2022","Census","United States"
"County","Crawford","AR","05033","=""05033""","60362","2019-2023","2022","Census","United States"
"County","Crittenden","AR","05035","=""05035""","54271","2019-2023","2022","Census","United States"
"County","Cross","AR","05037","=""05037""","47012","2019-2023","2022","Census","United States"
"County","Dallas","AR","05039","=""05039""","44694","2019-2023","2022","Census","United States"
"County","Desha","AR","05041","=""05041""","36064","2019-2023","2022","Census","United States"
"County","Drew","AR","05043","=""05043""","41071","2019-2023","2022","Census","United States"
"County","Faulkner","AR","05045","=""05045""","65071","2019-2023","2022","Census","United States"
"County","Franklin","AR","05047","=""05047""","51919","2019-2023","2022","Census","United States"
"County","Fulton","AR","05049","=""05049""","38941","2019-2023","2022","Census","United States"
"County","Garland","AR","05051","=""05051""","55409","2019-2023","2022","Census","United States"
"County","Grant","AR","05053","=""05053""","72512","2019-2023","2022","Census","United States"
"County","Greene","AR","05055","=""05055""","56793","2019-2023","2022","Census","United States"
"County","Hempstead","AR","05057","=""05057""","47654","2019-2023","2022","Census","United States"
"County","Hot Spring","AR","05059","=""05059""","52644","2019-2023","2022","Census","United States"
"County","Howard","AR","05061","=""05061""","44492","2019-2023","2022","Census","United States"
"County","Independence","AR","05063","=""05063""","56009","2019-2023","2022","Census","United States"
"County","Izard","AR","05065","=""05065""","47728","2019-2023","2022","Census","United States"
"County","Jackson","AR","05067","=""05067""","41215","2019-2023","2022","Census","United States"
"County","Jefferson","AR","05069","=""05069""","48552","2019-2023","2022","Census","United States"
"County","Johnson","AR","05071","=""05071""","44808","2019-2023","2022","Census","United States"
"County","Lafayette","AR","05073","=""05073""","37237","2019-2023","2022","Census","United States"
"County","Lawrence","AR","05075","=""05075""","44164","2019-2023","2022","Census","United States"
"County","Lee","AR","05077","=""05077""","36860","2019-2023","2022","Census","United States"
"County","Lincoln","AR","05079","=""05079""","51667","2019-2023","2022","Census","United States"
"County","Little River","AR","05081","=""05081""","52241","2019-2023","2022","Census","United States"
"County","Logan","AR","05083","=""05083""","54237","2019-2023","2022","Census","United States"
"County","Lonoke","AR","05085","=""05085""","71449","2019-2023","2022","Census","United States"
"County","Madison","AR","05087","=""05087""","53888","2019-2023","2022","Census","United States"
"County","Marion","AR","05089","=""05089""","46953","2019-2023","2022","Census","United States"
"County","Miller","AR","05091","=""05091""","49983","2019-2023","2022","Census","United States"
"County","Mississippi","AR","05093","=""05093""","53428","2019-2023","2022","Census","United States"
"County","Monroe","AR","05095","=""05095""","43955","2019-2023","2022","Census","United States"
"County","Montgomery","AR","05097","=""05097""","49015","2019-2023","2022","Census","United States"
"County","Nevada","AR","05099","=""05099""","41761","2019-2023","2022","Census","United States"
"County","Newton","AR","05101","=""05101""","47395","2019-2023","2022","Census","United States"
"County","Ouachita","AR","05103","=""05103""","49838","2019-2023","2022","Census","United States"
"County","Perry","AR","05105","=""05105""","60078","2019-2023","2022","Census","United States"
"County","Phillips","AR","05107","=""05107""","38874","2019-2023","2022","Census","United States"
"County","Pike","AR","05109","=""05109""","51000","2019-2023","2022","Census","United States"
"County","Poinsett","AR","05111","=""05111""","47188","2019-2023","2022","Census","United States"
"County","Polk","AR","05113","=""05113""","49252","2019-2023","2022","Census","United States"
"County","Pope","AR","05115","=""05115""","54606","2019-2023","2022","Census","United States"
"County","Prairie","AR","05117","=""05117""","51094","2019-2023","2022","Census","United States"
"County","Pulaski","AR","05119","=""05119""","60385","2019-2023","2022","Census","United States"
"County","Randolph","AR","05121","=""05121""","52838","2019-2023","2022","Census","United States"
