"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","People With Health Insurance","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","cpopwins","TimeFrame","GeoVintage","Source","Location"
"County","Autauga","AL","01001","=""01001""","53685","2019-2023","2022","Census","United States"
"County","Baldwin","AL","01003","=""01003""","217366","2019-2023","2022","Census","United States"
"County","Barbour","AL","01005","=""01005""","19335","2019-2023","2022","Census","United States"
"County","Bibb","AL","01007","=""01007""","19051","2019-2023","2022","Census","United States"
"County","Blount","AL","01009","=""01009""","52832","2019-2023","2022","Census","United States"
"County","Bullock","AL","01011","=""01011""","7971","2019-2023","2022","Census","United States"
"County","Butler","AL","01013","=""01013""","16254","2019-2023","2022","Census","United States"
"County","Calhoun","AL","01015","=""01015""","101629","2019-2023","2022","Census","United States"
"County","Chambers","AL","01017","=""01017""","29803","2019-2023","2022","Census","United States"
"County","Cherokee","AL","01019","=""01019""","22698","2019-2023","2022","Census","United States"
"County","Chilton","AL","01021","=""01021""","40619","2019-2023","2022","Census","United States"
"County","Choctaw","AL","01023","=""01023""","11392","2019-2023","2022","Census","United States"
"County","Clarke","AL","01025","=""01025""","20657","2019-2023","2022","Census","United States"
"County","Clay","AL","01027","=""01027""","12738","2019-2023","2022","Census","United States"
"County","Cleburne","AL","01029","=""01029""","13634","2019-2023","2022","Census","United States"
"County","Coffee","AL","01031","=""01031""","46669","2019-2023","2022","Census","United States"
"County","Colbert","AL","01033","=""01033""","53006","2019-2023","2022","Census","United States"
"County","Conecuh","AL","01035","=""01035""","10407","2019-2023","2022","Census","United States"
"County","Coosa","AL","01037","=""01037""","9231","2019-2023","2022","Census","United States"
"County","Covington","AL","01039","=""01039""","33326","2019-2023","2022","Census","United States"
"County","Crenshaw","AL","01041","=""01041""","11706","2019-2023","2022","Census","United States"
"County","Cullman","AL","01043","=""01043""","79165","2019-2023","2022","Census","United States"
"County","Dale","AL","01045","=""01045""","41709","2019-2023","2022","Census","United States"
"County","Dallas","AL","01047","=""01047""","33795","2019-2023","2022","Census","United States"
"County","DeKalb","AL","01049","=""01049""","60411","2019-2023","2022","Census","United States"
"County","Elmore","AL","01051","=""01051""","77275","2019-2023","2022","Census","United States"
"County","Escambia","AL","01053","=""01053""","30362","2019-2023","2022","Census","United States"
"County","Etowah","AL","01055","=""01055""","89626","2019-2023","2022","Census","United States"
"County","Fayette","AL","01057","=""01057""","14714","2019-2023","2022","Census","United States"
"County","Franklin","AL","01059","=""01059""","27961","2019-2023","2022","Census","United States"
"County","Geneva","AL","01061","=""01061""","23008","2019-2023","2022","Census","United States"
"County","Greene","AL","01063","=""01063""","6470","2019-2023","2022","Census","United States"
"County","Hale","AL","01065","=""01065""","13614","2019-2023","2022","Census","United States"
"County","Henry","AL","01067","=""01067""","15822","2019-2023","2022","Census","United States"
"County","Houston","AL","01069","=""01069""","94073","2019-2023","2022","Census","United States"
"County","Jackson","AL","01071","=""01071""","46828","2019-2023","2022","Census","United States"
"County","Jefferson","AL","01073","=""01073""","601632","2019-2023","2022","Census","United States"
"County","Lamar","AL","01075","=""01075""","12441","2019-2023","2022","Census","United States"
