County,State,Median_Household_Income,GeoID,Total_Population,Insured,Uninsured,Percent_Insured,Percent_Uninsured
Autauga,AL,69841.0,1001,59285.0,53685.0,4268.0,90.55410306148268,7.199122880998567
Baldwin,AL,75019.0,1003,239945.0,217366.0,19338.0,90.58992685823834,8.0593469336723
Barbour,AL,44290.0,1005,24757.0,19335.0,2350.0,78.09912348022782,9.492264813992
Bibb,AL,51215.0,1007,22152.0,19051.0,1730.0,86.00126399422174,7.809678584326471
Blount,AL,61096.0,1009,59292.0,52832.0,5997.0,89.10476961478783,10.114349321999596
Bullock,AL,36723.0,1011,10157.0,7971.0,1185.0,78.47789701683568,11.66683075711332
Butler,AL,44881.0,1013,18807.0,16254.0,2272.0,86.42526718774924,12.08060828414952
Calhoun,AL,55826.0,1015,116141.0,101629.0,12680.0,87.50484325087609,10.917763752679932
Chambers,AL,49295.0,1017,34450.0,29803.0,4156.0,86.51088534107402,12.063860667634252
Cherokee,AL,50769.0,1019,25224.0,22698.0,2250.0,89.98572787821124,8.920076117982873
Chilton,AL,61873.0,1021,45500.0,40619.0,4550.0,89.27252747252747,10.0
Choctaw,AL,44483.0,1023,12525.0,11392.0,1013.0,90.95409181636728,8.087824351297405
Clarke,AL,49167.0,1025,22802.0,20657.0,1836.0,90.59293044469784,8.051925269713182
Clay,AL,51852.0,1027,14188.0,12738.0,1171.0,89.78009585565266,8.253453622779814
Cleburne,AL,53319.0,1029,15254.0,13634.0,1390.0,89.37983479743018,9.112363970106202
Coffee,AL,64672.0,1031,54231.0,46669.0,5449.0,86.05594586122328,10.047758662019875
Colbert,AL,56736.0,1033,57648.0,53006.0,4242.0,91.94768248681656,7.358451290591174
Conecuh,AL,42266.0,1035,11411.0,10407.0,925.0,91.20147226360528,8.106213302953291
Coosa,AL,57063.0,1037,10323.0,9231.0,734.0,89.42167974426039,7.110336142594208
Covington,AL,50886.0,1039,37647.0,33326.0,3845.0,88.52232581613409,10.213297208276888
Crenshaw,AL,49040.0,1041,13144.0,11706.0,1182.0,89.0596469872185,8.992696287279367
Cullman,AL,60916.0,1043,89463.0,79165.0,9473.0,88.48909605088137,10.588735007768577
Dale,AL,53955.0,1045,49516.0,41709.0,5097.0,84.23337910978269,10.29364245900315
Dallas,AL,36810.0,1047,37536.0,33795.0,3445.0,90.03356777493606,9.177855924978688
DeKalb,AL,51149.0,1049,71946.0,60411.0,10680.0,83.96714202318405,14.84446668334584
Elmore,AL,75553.0,1051,88669.0,77275.0,6478.0,87.14996221903934,7.305822779099798
Escambia,AL,44447.0,1053,36695.0,30362.0,3877.0,82.74151791797247,10.565472135168278
Etowah,AL,53070.0,1055,103208.0,89626.0,12489.0,86.84016742888149,12.100806139058989
Fayette,AL,50733.0,1057,16173.0,14714.0,1261.0,90.97879181351637,7.796945526494775
Franklin,AL,51493.0,1059,31978.0,27961.0,3723.0,87.43823878916756,11.642379135655762
Geneva,AL,50951.0,1061,26726.0,23008.0,3380.0,86.08845319164858,12.646860734864926
Greene,AL,31495.0,1063,7589.0,6470.0,1040.0,85.25497430491501,13.704045328765318
Hale,AL,41325.0,1065,14749.0,13614.0,920.0,92.30456302122178,6.237711031256357
Henry,AL,60135.0,1067,17450.0,15822.0,1378.0,90.6704871060172,7.896848137535817
Houston,AL,57531.0,1069,107628.0,94073.0,12422.0,87.40569368565801,11.541606273460438
Jackson,AL,49454.0,1071,52839.0,46828.0,5475.0,88.62393307973278,10.361664679498098
Jefferson,AL,64589.0,1073,669744.0,601632.0,60904.0,89.83014405504193,9.09362383238969
Lamar,AL,47447.0,1075,13809.0,12441.0,1237.0,90.09341733651966,8.957925990296184
Lauderdale,AL,59082.0,1077,95037.0,84810.0,9166.0,89.23892799646454,9.64466470953418
Lawrence,AL,60040.0,1079,33182.0,29908.0,3024.0,90.133204749563,9.113374721234404
Lee,AL,61123.0,1081,177663.0,161070.0,15278.0,90.66040762567332,8.599427005060143
Limestone,AL,83534.0,1083,107577.0,95988.0,8508.0,89.22725117822583,7.9087537298865
Lowndes,AL,35160.0,1085,10008.0,9000.0,839.0,89.92805755395683,8.383293365307754
Macon,AL,45951.0,1087,18951.0,17025.0,1702.0,89.83694791831566,8.98105640863279
Madison,AL,83528.0,1089,397135.0,362048.0,30254.0,91.16496909111513,7.618064386165914
Marengo,AL,44205.0,1091,19027.0,17182.0,1624.0,90.30325327166658,8.53523939664687
Marion,AL,50714.0,1093,29190.0,25653.0,2903.0,87.88283658787256,9.945186707776635
Marshall,AL,60946.0,1095,98712.0,86348.0,11243.0,87.474673798525,11.38969932733609
Mobile,AL,58119.0,1097,413162.0,364089.0,44347.0,88.12257661643616,10.733562137853916
Monroe,AL,40225.0,1099,19580.0,17136.0,2153.0,87.51787538304391,10.99591419816139
Montgomery,AL,58153.0,1101,227197.0,197351.0,23508.0,86.86338287917535,10.34696760960752
Morgan,AL,64858.0,1103,123742.0,108014.0,13679.0,87.28968337347061,11.0544520049781
Perry,AL,34368.0,1105,8231.0,7445.0,606.0,90.45073502612075,7.362410399708419
Pickens,AL,47014.0,1107,18843.0,15666.0,1528.0,83.13962744785862,8.109112137133152
Pike,AL,47961.0,1109,32953.0,30007.0,2690.0,91.05999453767488,8.16314144387461
Randolph,AL,51551.0,1111,22310.0,20072.0,1983.0,89.96862393545496,8.888390856118331
Russell,AL,50046.0,1113,58858.0,50273.0,6549.0,85.41404736824221,11.126779707091645
St. Clair,AL,78993.0,1115,92903.0,84115.0,6636.0,90.54067145302088,7.1429340279646505
Shelby,AL,93543.0,1117,226955.0,209792.0,14950.0,92.4377079156661,6.587208918067458
Sumter,AL,37981.0,1119,12020.0,10784.0,1087.0,89.7171381031614,9.043261231281198
Talladega,AL,56249.0,1121,81170.0,71631.0,6561.0,88.24812122705433,8.083035604287298
Tallapoosa,AL,57185.0,1123,41070.0,36765.0,3575.0,89.51789627465303,8.70465059654249
Tuscaloosa,AL,63947.0,1125,234036.0,216463.0,15471.0,92.49132612076777,6.610521458237193
Walker,AL,54509.0,1127,64886.0,56605.0,7415.0,87.23761674321116,11.42773479641217
Washington,AL,60503.0,1129,15270.0,13956.0,1172.0,91.39489194499018,7.675180091683038
Wilcox,AL,42236.0,1131,10347.0,9233.0,927.0,89.23359427853484,8.95911858509713
Winston,AL,48032.0,1133,23637.0,21100.0,2202.0,89.26682743156915,9.31590303337987
Aleutians East,AK,72692.0,2013,3423.0,2214.0,1194.0,64.6801051709027,34.88168273444347
Aleutians West,AK,107344.0,2016,5178.0,4092.0,906.0,79.02665121668598,17.497103128621088
Anchorage,AK,98152.0,2020,289069.0,248756.0,27758.0,86.0541946732441,9.60255163991988
Bethel,AK,70616.0,2050,18487.0,15855.0,2343.0,85.76296857251042,12.673770757829828
