County,State,Median_Household_Income,GeoID,Total_Population,Insured,Uninsured,Percent_Insured,Percent_Uninsured,PCP_per_100k,ER_Visits_Rate
Autauga,AL,69841.0,1001,59285.0,53685.0,4268.0,90.55410306148268,7.199122880998567,27.25,5029.3586289245095
Baldwin,AL,75019.0,1003,239945.0,217366.0,19338.0,90.58992685823834,8.0593469336723,161.0,1242.641131575109
Barbour,AL,44290.0,1005,24757.0,19335.0,2350.0,78.09912348022782,9.492264813992,9.5,12043.685677416064
Bibb,AL,51215.0,1007,22152.0,19051.0,1730.0,86.00126399422174,7.809678584326471,20.5,13459.98222805117
Blount,AL,61096.0,1009,59292.0,52832.0,5997.0,89.10476961478783,10.114349321999596,13.25,5028.764863991592
Bullock,AL,36723.0,1011,10157.0,7971.0,1185.0,78.47789701683568,11.66683075711332,2.75,29355.66863402476
Butler,AL,44881.0,1013,18807.0,16254.0,2272.0,86.42526718774924,12.08060828414952,4.75,15853.965348848276
Calhoun,AL,55826.0,1015,116141.0,101629.0,12680.0,87.50484325087609,10.917763752679932,71.75,2567.271904975758
Chambers,AL,49295.0,1017,34450.0,29803.0,4156.0,86.51088534107402,12.063860667634252,14.25,8655.022534565733
Cherokee,AL,50769.0,1019,25224.0,22698.0,2250.0,89.98572787821124,8.920076117982873,10.25,11820.707513312303
Chilton,AL,61873.0,1021,45500.0,40619.0,4550.0,89.27252747252747,10.0,10.75,6553.088490456913
Choctaw,AL,44483.0,1023,12525.0,11392.0,1013.0,90.95409181636728,8.087824351297405,5.0,23805.63084357601
Clarke,AL,49167.0,1025,22802.0,20657.0,1836.0,90.59293044469784,8.051925269713182,11.0,13076.288321892356
Clay,AL,51852.0,1027,14188.0,12738.0,1171.0,89.78009585565266,8.253453622779814,4.5,21015.331711008566
Cleburne,AL,53319.0,1029,15254.0,13634.0,1390.0,89.37983479743018,9.112363970106202,3.75,19546.71078509175
Coffee,AL,64672.0,1031,54231.0,46669.0,5449.0,86.05594586122328,10.047758662019875,25.5,5498.064323279849
Colbert,AL,56736.0,1033,57648.0,53006.0,4242.0,91.94768248681656,7.358451290591174,36.25,5172.17468629943
Conecuh,AL,42266.0,1035,11411.0,10407.0,925.0,91.20147226360528,8.106213302953291,5.25,26129.657901655377
Covington,AL,50886.0,1039,37647.0,33326.0,3845.0,88.52232581613409,10.213297208276888,18.5,7920.034167816546
Crenshaw,AL,49040.0,1041,13144.0,11706.0,1182.0,89.0596469872185,8.992696287279367,3.0,22684.53486882148
Cullman,AL,60916.0,1043,89463.0,79165.0,9473.0,88.48909605088137,10.588735007768577,47.75,3332.8362151480446
Dale,AL,53955.0,1045,49516.0,41709.0,5097.0,84.23337910978269,10.29364245900315,12.25,6021.599610545874
Dallas,AL,36810.0,1047,37536.0,33795.0,3445.0,90.03356777493606,9.177855924978688,36.5,7943.454984968817
DeKalb,AL,51149.0,1049,71946.0,60411.0,10680.0,83.96714202318405,14.84446668334584,32.25,4144.296087562749
Elmore,AL,75553.0,1051,88669.0,77275.0,6478.0,87.14996221903934,7.305822779099798,21.0,3362.6806021923053
Escambia,AL,44447.0,1053,36695.0,30362.0,3877.0,82.74151791797247,10.565472135168278,11.75,8125.508279487383
Etowah,AL,53070.0,1055,103208.0,89626.0,12489.0,86.84016742888149,12.100806139058989,81.25,2888.9768846968213
Fayette,AL,50733.0,1057,16173.0,14714.0,1261.0,90.97879181351637,7.796945526494775,16.25,18436.006079007577
Franklin,AL,51493.0,1059,31978.0,27961.0,3723.0,87.43823878916756,11.642379135655762,13.75,9324.083004433971
Geneva,AL,50951.0,1061,26726.0,23008.0,3380.0,86.08845319164858,12.646860734864926,7.75,11156.384281815068
Greene,AL,31495.0,1063,7589.0,6470.0,1040.0,85.25497430491501,13.704045328765318,3.75,39289.172001026425
Hale,AL,41325.0,1065,14749.0,13614.0,920.0,92.30456302122178,6.237711031256357,3.75,20215.98252869954
Henry,AL,60135.0,1067,17450.0,15822.0,1378.0,90.6704871060172,7.896848137535817,5.25,17086.849645603983
Houston,AL,57531.0,1069,107628.0,94073.0,12422.0,87.40569368565801,11.541606273460438,94.5,2770.334172481041
Jackson,AL,49454.0,1071,52839.0,46828.0,5475.0,88.62393307973278,10.361664679498098,28.0,5642.906306247081
Jefferson,AL,64589.0,1073,669744.0,601632.0,60904.0,89.83014405504193,9.09362383238969,907.0,445.19327730564146
Lauderdale,AL,59082.0,1077,95037.0,84810.0,9166.0,89.23892799646454,9.64466470953418,52.0,3137.362567376806
Lawrence,AL,60040.0,1079,33182.0,29908.0,3024.0,90.133204749563,9.113374721234404,5.25,8985.761145072314
Lee,AL,61123.0,1081,177663.0,161070.0,15278.0,90.66040762567332,8.599427005060143,86.0,1678.264615118452
Limestone,AL,83534.0,1083,107577.0,95988.0,8508.0,89.22725117822583,7.9087537298865,38.25,2771.647529823192
Lowndes,AL,35160.0,1085,10008.0,9000.0,839.0,89.92805755395683,8.383293365307754,1.0,29792.7184568135
Macon,AL,45951.0,1087,18951.0,17025.0,1702.0,89.83694791831566,8.98105640863279,6.5,15733.498301714397
Madison,AL,83528.0,1089,397135.0,362048.0,30254.0,91.16496909111513,7.618064386165914,356.5,750.7913588975777
Marengo,AL,44205.0,1091,19027.0,17182.0,1624.0,90.30325327166658,8.53523939664687,8.0,15670.65361411623
Marion,AL,50714.0,1093,29190.0,25653.0,2903.0,87.88283658787256,9.945186707776635,8.25,10214.646328050343
