County,State,GeoID,Primary_Care_Physicians_2018,Primary_Care_Physicians_2019,Primary_Care_Physicians_2020,Primary_Care_Physicians_2021
Aleutians West,AK,02016,2.0,2.0,2.0,3.0
Anchorage,AK,02020,367.0,372.0,374.0,373.0
Bethel,AK,02050,19.0,20.0,20.0,16.0
Chugach,AK,02063,,,0.0,11.0
Copper River,AK,02066,,,0.0,1.0
Denali,AK,02068,0.0,0.0,0.0,1.0
Dillingham,AK,02070,13.0,13.0,12.0,12.0
Fairbanks North Star,AK,02090,82.0,88.0,89.0,87.0
Haines,AK,02100,7.0,7.0,6.0,6.0
Juneau,AK,02110,39.0,40.0,41.0,41.0
Kenai Peninsula,AK,02122,44.0,46.0,47.0,49.0
Ketchikan Gateway,AK,02130,15.0,16.0,17.0,17.0
Kodiak Island,AK,02150,15.0,16.0,18.0,18.0
Matanuska-Susitna,AK,02170,53.0,57.0,57.0,58.0
Nome,AK,02180,10.0,12.0,12.0,13.0
North Slope,AK,02185,2.0,2.0,2.0,4.0
Northwest Arctic,AK,02188,6.0,7.0,6.0,6.0
Petersburg,AK,02195,6.0,6.0,5.0,5.0
Prince of Wales-Hyder,AK,02198,6.0,9.0,7.0,10.0
Sitka,AK,02220,17.0,19.0,19.0,18.0
Southeast Fairbanks,AK,02240,6.0,5.0,5.0,4.0
Valdez-Cordova,AK,02261,11.0,12.0,,
Wrangell,AK,02275,3.0,3.0,3.0,3.0
Yukon-Koyukuk,AK,02290,1.0,1.0,1.0,1.0
Autauga,AL,01001,27.0,27.0,28.0,27.0
Baldwin,AL,01003,158.0,161.0,154.0,171.0
Barbour,AL,01005,9.0,10.0,9.0,10.0
Bibb,AL,01007,15.0,17.0,22.0,28.0
Blount,AL,01009,13.0,14.0,13.0,13.0
Bullock,AL,01011,3.0,3.0,3.0,2.0
Butler,AL,01013,5.0,5.0,4.0,5.0
Calhoun,AL,01015,75.0,72.0,70.0,70.0
Chambers,AL,01017,14.0,15.0,14.0,14.0
Cherokee,AL,01019,10.0,10.0,10.0,11.0
Chilton,AL,01021,11.0,11.0,11.0,10.0
Choctaw,AL,01023,5.0,5.0,5.0,5.0
Clarke,AL,01025,13.0,11.0,11.0,9.0
Clay,AL,01027,5.0,5.0,4.0,4.0
Cleburne,AL,01029,4.0,3.0,4.0,4.0
Coffee,AL,01031,24.0,25.0,25.0,28.0
Colbert,AL,01033,36.0,34.0,35.0,40.0
Conecuh,AL,01035,5.0,5.0,5.0,6.0
Covington,AL,01039,18.0,18.0,20.0,18.0
Crenshaw,AL,01041,3.0,3.0,3.0,3.0
Cullman,AL,01043,45.0,53.0,48.0,45.0
Dale,AL,01045,10.0,12.0,13.0,14.0
Dallas,AL,01047,35.0,38.0,36.0,37.0
DeKalb,AL,01049,29.0,34.0,34.0,32.0
Elmore,AL,01051,21.0,19.0,21.0,23.0
Escambia,AL,01053,12.0,12.0,12.0,11.0
Etowah,AL,01055,82.0,85.0,80.0,78.0
Fayette,AL,01057,17.0,16.0,16.0,16.0
Franklin,AL,01059,14.0,14.0,14.0,13.0
Geneva,AL,01061,8.0,8.0,7.0,8.0
Greene,AL,01063,4.0,4.0,4.0,3.0
Hale,AL,01065,3.0,4.0,4.0,4.0
Henry,AL,01067,5.0,5.0,5.0,6.0
Houston,AL,01069,97.0,94.0,95.0,92.0
Jackson,AL,01071,29.0,28.0,27.0,28.0
Jefferson,AL,01073,888.0,901.0,912.0,927.0
Lauderdale,AL,01077,47.0,51.0,52.0,58.0
Lawrence,AL,01079,5.0,5.0,5.0,6.0
Lee,AL,01081,85.0,81.0,88.0,90.0
Limestone,AL,01083,35.0,37.0,40.0,41.0
Lowndes,AL,01085,1.0,1.0,1.0,1.0
Macon,AL,01087,7.0,7.0,6.0,6.0
Madison,AL,01089,351.0,363.0,351.0,361.0
Marengo,AL,01091,9.0,7.0,7.0,9.0
Marion,AL,01093,10.0,8.0,8.0,7.0
Marshall,AL,01095,58.0,61.0,58.0,55.0
Mobile,AL,01097,349.0,350.0,349.0,352.0
Monroe,AL,01099,9.0,9.0,8.0,9.0
Montgomery,AL,01101,260.0,255.0,246.0,235.0
Morgan,AL,01103,65.0,64.0,63.0,64.0
Perry,AL,01105,3.0,3.0,3.0,3.0
Pickens,AL,01107,9.0,9.0,8.0,8.0
Pike,AL,01109,15.0,14.0,14.0,14.0
Randolph,AL,01111,5.0,5.0,5.0,6.0
Russell,AL,01113,15.0,14.0,14.0,11.0
Shelby,AL,01117,185.0,191.0,191.0,184.0
St. Clair,AL,01115,15.0,14.0,13.0,17.0
Sumter,AL,01119,7.0,7.0,7.0,7.0
Talladega,AL,01121,26.0,25.0,23.0,22.0
Tallapoosa,AL,01123,21.0,22.0,19.0,19.0
Tuscaloosa,AL,01125,186.0,183.0,179.0,178.0
Walker,AL,01127,26.0,27.0,29.0,31.0
Washington,AL,01129,2.0,2.0,2.0,1.0
Wilcox,AL,01131,4.0,4.0,2.0,1.0
Winston,AL,01133,10.0,8.0,8.0,10.0
Arkansas,AR,05001,9.0,10.0,10.0,9.0
Ashley,AR,05003,8.0,8.0,8.0,8.0
Baxter,AR,05005,31.0,34.0,35.0,36.0
Benton,AR,05007,166.0,171.0,181.0,183.0
Boone,AR,05009,28.0,29.0,29.0,24.0
Bradley,AR,05011,6.0,6.0,6.0,6.0
Calhoun,AR,05013,1.0,1.0,1.0,1.0
Carroll,AR,05015,15.0,16.0,18.0,19.0
Chicot,AR,05017,12.0,8.0,7.0,6.0
Clark,AR,05019,10.0,11.0,13.0,11.0
Clay,AR,05021,1.0,2.0,1.0,1.0
