Year,Age_Group,Category,Visits_Thousands,Visits_Millions
2000,All ages,All places,1014848.0,1014.848
2001,All ages,All places,1142420.0,1142.42
2002,All ages,All places,1157798.0,1157.798
2003,All ages,All places,1114504.0,1114.504
2004,All ages,All places,1106067.0,1106.067
2005,All ages,All places,1169333.0,1169.333
2006,All ages,All places,1123354.0,1123.354
2007,All ages,All places,1200017.0,1200.017
2008,All ages,All places,1189619.0,1189.619
2009,All ages,All places,1270001.0,1270.001
2010,All ages,All places,1239387.0,1239.387
2011,All ages,All places,1249047.0,1249.047
2000,Under 18 years,All places,212165.0,212.165
2001,Under 18 years,All places,220921.0,220.921
2002,Under 18 years,All places,238571.0,238.571
2003,Under 18 years,All places,223724.0,223.724
2004,Under 18 years,All places,220605.0,220.605
2005,Under 18 years,All places,238389.0,238.389
2006,Under 18 years,All places,231535.0,231.535
2007,Under 18 years,All places,240813.0,240.813
2008,Under 18 years,All places,225531.0,225.531
2009,Under 18 years,All places,239590.0,239.59
2010,Under 18 years,All places,246228.0,246.228
2011,Under 18 years,All places,263387.0,263.387
2000,18-44 years,All places,315774.0,315.774
2001,18-44 years,All places,341383.0,341.383
2002,18-44 years,All places,337681.0,337.681
2003,18-44 years,All places,331015.0,331.015
2004,18-44 years,All places,314993.0,314.993
2005,18-44 years,All places,324108.0,324.108
2006,18-44 years,All places,317502.0,317.502
2007,18-44 years,All places,335440.0,335.44
2008,18-44 years,All places,328438.0,328.438
2009,18-44 years,All places,341209.0,341.209
2010,18-44 years,All places,342797.0,342.797
2011,18-44 years,All places,333427.0,333.427
2000,45-64 years,All places,255894.0,255.894
2001,45-64 years,All places,300567.0,300.567
2002,45-64 years,All places,308627.0,308.627
2003,45-64 years,All places,301558.0,301.558
2004,45-64 years,All places,307736.0,307.736
2005,45-64 years,All places,328564.0,328.564
2006,45-64 years,All places,310667.0,310.667
2007,45-64 years,All places,334088.0,334.088
2008,45-64 years,All places,341595.0,341.595
2009,45-64 years,All places,374775.0,374.775
2010,45-64 years,All places,352001.0,352.001
2011,45-64 years,All places,353591.0,353.591
2000,45-54 years,All places,142233.0,142.233
2001,45-54 years,All places,165321.0,165.321
2002,45-54 years,All places,169871.0,169.871
2003,45-54 years,All places,164431.0,164.431
2004,45-54 years,All places,160023.0,160.023
2005,45-54 years,All places,170674.0,170.674
