Geography_Type_Description,Geography_Name,Sits_in_State,GeoID,Median_Household_Income,Data_Time_Period
County,Autauga,AL,1001,69841.0,2019-2023
County,Baldwin,AL,1003,75019.0,2019-2023
County,Barbour,AL,1005,44290.0,2019-2023
County,Bibb,AL,1007,51215.0,2019-2023
County,Blount,AL,1009,61096.0,2019-2023
County,Bullock,AL,1011,36723.0,2019-2023
County,Butler,AL,1013,44881.0,2019-2023
County,Calhoun,AL,1015,55826.0,2019-2023
County,Chambers,AL,1017,49295.0,2019-2023
County,Cherokee,AL,1019,50769.0,2019-2023
County,Chilton,AL,1021,61873.0,2019-2023
County,Choctaw,AL,1023,44483.0,2019-2023
County,Clarke,AL,1025,49167.0,2019-2023
County,Clay,AL,1027,51852.0,2019-2023
County,Cleburne,AL,1029,53319.0,2019-2023
County,Coffee,AL,1031,64672.0,2019-2023
County,Colbert,AL,1033,56736.0,2019-2023
County,Conecuh,AL,1035,42266.0,2019-2023
County,Coosa,AL,1037,57063.0,2019-2023
County,Covington,AL,1039,50886.0,2019-2023
County,Crenshaw,AL,1041,49040.0,2019-2023
County,Cullman,AL,1043,60916.0,2019-2023
County,Dale,AL,1045,53955.0,2019-2023
County,Dallas,AL,1047,36810.0,2019-2023
County,DeKalb,AL,1049,51149.0,2019-2023
County,Elmore,AL,1051,75553.0,2019-2023
County,Escambia,AL,1053,44447.0,2019-2023
County,Etowah,AL,1055,53070.0,2019-2023
County,Fayette,AL,1057,50733.0,2019-2023
County,Franklin,AL,1059,51493.0,2019-2023
County,Geneva,AL,1061,50951.0,2019-2023
County,Greene,AL,1063,31495.0,2019-2023
County,Hale,AL,1065,41325.0,2019-2023
County,Henry,AL,1067,60135.0,2019-2023
County,Houston,AL,1069,57531.0,2019-2023
County,Jackson,AL,1071,49454.0,2019-2023
County,Jefferson,AL,1073,64589.0,2019-2023
County,Lamar,AL,1075,47447.0,2019-2023
County,Lauderdale,AL,1077,59082.0,2019-2023
County,Lawrence,AL,1079,60040.0,2019-2023
County,Lee,AL,1081,61123.0,2019-2023
County,Limestone,AL,1083,83534.0,2019-2023
County,Lowndes,AL,1085,35160.0,2019-2023
County,Macon,AL,1087,45951.0,2019-2023
County,Madison,AL,1089,83528.0,2019-2023
County,Marengo,AL,1091,44205.0,2019-2023
County,Marion,AL,1093,50714.0,2019-2023
County,Marshall,AL,1095,60946.0,2019-2023
County,Mobile,AL,1097,58119.0,2019-2023
County,Monroe,AL,1099,40225.0,2019-2023
County,Montgomery,AL,1101,58153.0,2019-2023
County,Morgan,AL,1103,64858.0,2019-2023
County,Perry,AL,1105,34368.0,2019-2023
County,Pickens,AL,1107,47014.0,2019-2023
County,Pike,AL,1109,47961.0,2019-2023
County,Randolph,AL,1111,51551.0,2019-2023
County,Russell,AL,1113,50046.0,2019-2023
County,St. Clair,AL,1115,78993.0,2019-2023
County,Shelby,AL,1117,93543.0,2019-2023
County,Sumter,AL,1119,37981.0,2019-2023
County,Talladega,AL,1121,56249.0,2019-2023
County,Tallapoosa,AL,1123,57185.0,2019-2023
County,Tuscaloosa,AL,1125,63947.0,2019-2023
County,Walker,AL,1127,54509.0,2019-2023
County,Washington,AL,1129,60503.0,2019-2023
County,Wilcox,AL,1131,42236.0,2019-2023
County,Winston,AL,1133,48032.0,2019-2023
County,Aleutians East,AK,2013,72692.0,2019-2023
County,Aleutians West,AK,2016,107344.0,2019-2023
County,Anchorage,AK,2020,98152.0,2019-2023
County,Bethel,AK,2050,70616.0,2019-2023
County,Bristol Bay,AK,2060,100625.0,2019-2023
County,Chugach,AK,2063,88565.0,2019-2023
County,Copper River,AK,2066,75053.0,2019-2023
County,Denali,AK,2068,88935.0,2019-2023
County,Dillingham,AK,2070,74250.0,2019-2023
County,Fairbanks North Star,AK,2090,84722.0,2019-2023
County,Haines,AK,2100,72607.0,2019-2023
County,Hoonah-Angoon,AK,2105,62500.0,2019-2023
County,Juneau,AK,2110,100513.0,2019-2023
County,Kenai Peninsula,AK,2122,77722.0,2019-2023
County,Ketchikan Gateway,AK,2130,89155.0,2019-2023
County,Kodiak Island,AK,2150,83716.0,2019-2023
County,Kusilvak,AK,2158,48233.0,2019-2023
County,Lake and Peninsula,AK,2164,64000.0,2019-2023
County,Matanuska-Susitna,AK,2170,90625.0,2019-2023
County,Nome,AK,2180,76643.0,2019-2023
