"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"County","Autauga","AL","01001","=""01001""","59285","2019-2023","2022","Census","United States"
"County","Baldwin","AL","01003","=""01003""","239945","2019-2023","2022","Census","United States"
"County","Barbour","AL","01005","=""01005""","24757","2019-2023","2022","Census","United States"
"County","Bibb","AL","01007","=""01007""","22152","2019-2023","2022","Census","United States"
"County","Blount","AL","01009","=""01009""","59292","2019-2023","2022","Census","United States"
"County","Bullock","AL","01011","=""01011""","10157","2019-2023","2022","Census","United States"
"County","Butler","AL","01013","=""01013""","18807","2019-2023","2022","Census","United States"
"County","Calhoun","AL","01015","=""01015""","116141","2019-2023","2022","Census","United States"
"County","Chambers","AL","01017","=""01017""","34450","2019-2023","2022","Census","United States"
"County","Cherokee","AL","01019","=""01019""","25224","2019-2023","2022","Census","United States"
"County","Chilton","AL","01021","=""01021""","45500","2019-2023","2022","Census","United States"
"County","Choctaw","AL","01023","=""01023""","12525","2019-2023","2022","Census","United States"
"County","Clarke","AL","01025","=""01025""","22802","2019-2023","2022","Census","United States"
"County","Clay","AL","01027","=""01027""","14188","2019-2023","2022","Census","United States"
"County","Cleburne","AL","01029","=""01029""","15254","2019-2023","2022","Census","United States"
"County","Coffee","AL","01031","=""01031""","54231","2019-2023","2022","Census","United States"
"County","Colbert","AL","01033","=""01033""","57648","2019-2023","2022","Census","United States"
"County","Conecuh","AL","01035","=""01035""","11411","2019-2023","2022","Census","United States"
"County","Coosa","AL","01037","=""01037""","10323","2019-2023","2022","Census","United States"
"County","Covington","AL","01039","=""01039""","37647","2019-2023","2022","Census","United States"
"County","Crenshaw","AL","01041","=""01041""","13144","2019-2023","2022","Census","United States"
"County","Cullman","AL","01043","=""01043""","89463","2019-2023","2022","Census","United States"
"County","Dale","AL","01045","=""01045""","49516","2019-2023","2022","Census","United States"
"County","Dallas","AL","01047","=""01047""","37536","2019-2023","2022","Census","United States"
"County","DeKalb","AL","01049","=""01049""","71946","2019-2023","2022","Census","United States"
"County","Elmore","AL","01051","=""01051""","88669","2019-2023","2022","Census","United States"
"County","Escambia","AL","01053","=""01053""","36695","2019-2023","2022","Census","United States"
