State,Year,Population
Alabama,1990,4040389
Alabama,2000,4447207
Alabama,2010,4780118
Alabama,2020,5024294
Alabama,2023,5108468
Alaska,1990,550043
Alaska,2000,626933
Alaska,2010,710246
Alaska,2020,733374
Alaska,2023,733406
Arizona,1990,3665339
Arizona,2000,5130247
Arizona,2010,6392292
Arizona,2020,7157902
Arizona,2023,7431344
Arkansas,1990,2350624
Arkansas,2000,2673293
Arkansas,2010,2916029
Arkansas,2020,3011490
Arkansas,2023,3067732
California,1990,29811427
California,2000,33871653
California,2010,37254522
California,2020,39538212
California,2023,38965193
Colorado,1990,3294473
Colorado,2000,4302086
Colorado,2010,5029319
Colorado,2020,5773707
Colorado,2023,5877610
Connecticut,1990,3287116
Connecticut,2000,3405650
Connecticut,2010,3574151
Connecticut,2020,3605912
Connecticut,2023,3617176
Delaware,1990,666168
Delaware,2000,783559
Delaware,2010,897947
Delaware,2020,989946
Delaware,2023,1031890
District of Columbia,1990,606900
District of Columbia,2000,572086
District of Columbia,2010,601767
District of Columbia,2020,689548
District of Columbia,2023,678972
Florida,1990,12938071
Florida,2000,15982571
Florida,2010,18804589
Florida,2020,21538216
Florida,2023,22610726
Georgia,1990,6478149
Georgia,2000,8186653
Georgia,2010,9688737
Georgia,2020,10713771
Georgia,2023,11029227
Hawaii,1990,1108229
Hawaii,2000,1211497
Hawaii,2010,1360304
Hawaii,2020,1455274
Hawaii,2023,1435138
Idaho,1990,1006734
Idaho,2000,1293957
Idaho,2010,1567658
Idaho,2020,1839117
Idaho,2023,1964726
Illinois,1990,11430602
Illinois,2000,12419927
Illinois,2010,12831572
Illinois,2020,12813469
Illinois,2023,12549689
Indiana,1990,5544156
Indiana,2000,6080827
Indiana,2010,6484050
Indiana,2020,6785442
Indiana,2023,6862199
Iowa,1990,2776831
Iowa,2000,2926538
Iowa,2010,3046877
Iowa,2020,3190427
Iowa,2023,3207004
Kansas,1990,2477588
Kansas,2000,2688925
Kansas,2010,2853120
Kansas,2020,2937835
Kansas,2023,2940546
Kentucky,1990,3686892
Kentucky,2000,4042193
Kentucky,2010,4339330
Kentucky,2020,4506297
Kentucky,2023,4526154
Louisiana,1990,4221826
Louisiana,2000,4469035
Louisiana,2010,4533500
Louisiana,2020,4657785
Louisiana,2023,4573749
Maine,1990,1227928
Maine,2000,1274779
Maine,2010,1328354
Maine,2020,1363177
Maine,2023,1395722
Maryland,1990,4780753
Maryland,2000,5296647
Maryland,2010,5773787
Maryland,2020,6177253
Maryland,2023,6180253
Massachusetts,1990,6016425
Massachusetts,2000,6349364
Massachusetts,2010,6547788
Massachusetts,2020,7032933
Massachusetts,2023,7001399
Michigan,1990,9295287
Michigan,2000,9938823
Michigan,2010,9884112
Michigan,2020,10077674
Michigan,2023,10037261
Minnesota,1990,4375665
Minnesota,2000,4919631
Minnesota,2010,5303933
Minnesota,2020,5706804
Minnesota,2023,5737915
Mississippi,1990,2575475
Mississippi,2000,2844754
Mississippi,2010,2968129
Mississippi,2020,2961306
